date,run_id,decision,target_layer,summary,source_artifact,status
2026-07-01,day-001,reflect,documentation pattern / uiux rule,For local CLI tools place the first-run example and expected output near the top of the README,Local note summarizer CLI,applied
2026-07-02,day-002,reflect,review rule / documentation pattern,Reviewer should explicitly check whether the last reflected learning improved the current artifact,README quickstart generator,applied
2026-07-02,day-003,reflect,uiux rule / review rule,For local web apps show what the tool does and the expected result above the fold before requiring user effort,Idea priority board,applied
2026-07-02,day-004,reflect,review rule / uiux rule,For classification or transformation tools show the rule behind the result near the result itself,JSON change explorer,applied
2026-07-02,day-005,reflect,review rule / documentation pattern,Heuristic local tools should surface uncertainty or confidence by default,Meeting decision extractor,applied
2026-07-03,day-005,reflect,uiux rule / capture rule,For browser demos keep the main function inside the final video frame and make the functional area more prominent than the hero copy,Meeting decision extractor,applied
2026-07-03,day-005,reflect,uiux rule / capture rule,For video demos prefer UI restructuring or screen transitions before using zoom to fit the frame,Meeting decision extractor,applied
2026-07-03,day-005,reflect,uiux rule / capture rule,Standardize principles and review criteria rather than locking UI or video output into a fixed template,Meeting decision extractor,applied
2026-07-04,day-007,reflect,uiux rule / reviewer rule,For browser normalization tools include one-click complete and incomplete sample states when that contrast improves review and demo clarity,Bug report repro builder,applied
2026-07-04,day-008,reflect,builder rule / reviewer rule,For agent task planning treat publish deploy and post actions as high-risk scope that must be explicitly requested rather than inferred from negated wording or broad delegation,Agent run scope planner,applied
2026-07-04,day-008,reflect,checklist / prompt rule,"publish, deploy, and posting actions should require explicit positive intent and should not be inferred from negated wording or broad delegation",Agent run scope planner,applied
2026-07-04,day-014,reflect,reviewer rule / tester rule,"For external-facing claims, review evidence sufficiency separately from wording quality, and test at least one derived-numeric-support boundary case.",Claim evidence mismatch checker,applied
2026-07-05,day-015,reflect,checklist / prompt rule / language rule / ai-factory rule,parser-heavy diff tool では unsupported input の明示と semantic reclassification case の確認を標準観点にする,Release note diff explainer,applied
2026-07-06,day-016,reflect,role / checklist / language rule / ai-factory rule,blocker 検出系では優先順位づけと metadata 欠損の分離表示を標準観点にする,Meeting blocker signal checker,applied
2026-07-07,day-017,reflect,role / checklist / language rule / ai-factory rule,contradiction 系では条件差分を単純矛盾扱いしていないかを標準観点にする,Policy contradiction viewer,applied
2026-07-08,day-018,reflect,role / checklist / language rule / ai-factory rule,triage 系ツールでは label より先に理由の透明性を確認する,Support urgency rubric checker,applied
